urun_adi,kimin için,ne için
Damla Kesim Siyah Pırlantalı Yüzük,eşin,anneler günü
Şans Sembolü Altın Kolye (Pempamsie),baban,yıl dönümü
Palmiye Sembol Altın Kolye (ABE DUA),baban,özür dilerim
Adalet Sembolü Altın Kolye (SEPOW),arkadaşın,içimden geldi
Pırlantalı Fantezi Baget Tria Yüzük,eşin,içimden geldi
Damla Formunda Pırlanta Baget Kolye,iş arkadaşın,içimden geldi
Pırlanta Beş Baget Tasarım Yüzük,arkadaşın,anneler günü
Pırlanta Fantezi F Renk Baget Yüzük,eşin,geçmiş olsun
Mineli 4 Element Altın Bileklik,kardeşin,içimden geldi
Mineli 4 Element Sembollü Altın Bileklik,kardeşin,doğum günü
Mineli Aşk Sembolü Altın Kolye,baban,yeni iş/terfi
Pırlantalı Evlilik Alyansı Kadın Modeli Palin- 3MM,sevgilin,söz-nişan-düğün
Evlilik Alyansı Pırlantalı Kadın Modeli Santorini- 3MM,kardeşin,doğum günü
Evlilik Alyansı Pırlantalı Kadın Modeli Patranto- 4MM,arkadaşın,özür dilerim
Pırlanta Zultanit Taşlı Yüzük,annen,anneler günü
Pırlanta Baget Modern Tasarım Yüzük,sevgilin,doğum günü
Pırlantalı Evlilik Alyansı Kadın Modeli- 4MM,kardeşin,doğum günü
Pırlanta Miracle 3 Taş Baget Küpe,çocuğun,yeni iş/terfi
Pırlanta Ametist Taşlı Kolye,sevgilin,anneler günü
14 Ayar Altın Harf Kolye,iş arkadaşın,yeni iş/terfi
Ametist Oval Altın Yüzük,sevgilin,yıl dönümü
Pırlanta Tektaş Miracle Yüzük,kardeşin,doğum günü
Pırlanta Miracle Tektaş Yüzük (0.40 Karat Görünümlü),iş arkadaşın,anneler günü
Sakral Çakra Altın Kolye,arkadaşın,geçmiş olsun
Pırlanta Beştaş Alyans (0.30 Ct. Görünümlü) Miracle,annen,yıl dönümü
Pırlanta 5 Taş Miracle Alyans (0.75 Ct. Görünümlü),arkadaşın,söz-nişan-düğün
Siyah Beyaz Pırlanta Yüzük,iş arkadaşın,yeni iş/terfi
Pırlanta Armoni (Manji) Sembolü Küpe Adinkra,arkadaşın,özür dilerim
Pırlanta Effect Prenses Kesim Tektaş Kolye,sevgilin,geçmiş olsun
Pırlanta Kelebek Göbek Piercingi,arkadaşın,içimden geldi
Pırlanta Yaşam Çiçeği Sembol Kolye,iş arkadaşın,doğum günü
Pırlanta Kalp Miracle Kolye,eşin,içimden geldi
0.25 Karat Görünüm Pırlanta Tektaş Kolye,kardeşin,yeni iş/terfi
Pırlanta Arapça Be Harfi Kolye,sevgilin,doğum günü
Nazar Ayeti Altın Pırlanta Kolye,çocuğun,doğum günü
Effect Pırlantalı Kalp Kolye,arkadaşın,yeni iş/terfi
Mavi Topaz Altın Küpe,kardeşin,yeni iş/terfi
Damla Kesim Yakut Altın Küpe,kardeşin,söz-nişan-düğün
Pırlanta Tektaş Miracle Küpe (0.30 Karat Görünüm),kardeşin,içimden geldi
0.60 Karat Pırlanta D-VS2 Tektaş Küpe Uluslararası Sertifikalı,arkadaşın,geçmiş olsun
0.40 Karat Pırlanta Tektaş Küpe,annen,içimden geldi
0.40 Karat Pırlanta Tektaş Küpe Tivoli,arkadaşın,anneler günü
Zultanit (Diaspore) Damla Kesim Pırlanta Küpe,arkadaşın,yıl dönümü
Pırlanta Damla Ametist Küpe,annen,anneler günü
Markiz Ametist Pırlanta Küpe,sevgilin,söz-nişan-düğün
Pırlanta Firuze Küpe,eşin,içimden geldi
Pırlanta Prenses Kesim Safir Küpe,sevgilin,içimden geldi
Pırlanta Safir Küpe Ronse,sevgilin,yeni iş/terfi
Pırlanta Yakut Nar-ı Aşk Küpe,sevgilin,yıl dönümü
Pırlanta İnci Taçlı Küpe,annen,özür dilerim
Pırlanta İnci Küpe Çift Taraflı Kullanım,eşin,özür dilerim
Siyah Pırlanta Küpe Charmy,iş arkadaşın,geçmiş olsun
Pırlanta Fantezi Küpe Vicenza,iş arkadaşın,anneler günü
Pırlanta Halka Küpe,çocuğun,söz-nişan-düğün
0.44 Karat Pırlanta Fantezi Küpe,çocuğun,yeni iş/terfi
Pırlanta Tektaş Suyolu Miracle Küpe,çocuğun,içimden geldi
Pırlanta Fantezi Küpe Hilversum,eşin,doğum günü
Pırlanta Miracle Küpe,iş arkadaşın,yeni iş/terfi
0.44 Karat Pırlanta Damla Küpe,kardeşin,içimden geldi
Siyah Pırlanta Halka Küpe,çocuğun,söz-nişan-düğün
Pırlanta Kalp Küpe,eşin,söz-nişan-düğün
Siyah Beyaz Pırlanta Küpe,arkadaşın,söz-nişan-düğün
Pırlanta Miracle Halka Küpe,eşin,yeni iş/terfi
Pırlantalı Ay Yıldız Küpe,çocuğun,yeni iş/terfi
Pırlanta Tektaş Effect Küpe (0.80 Karat Görünüm),sevgilin,söz-nişan-düğün
Pırlanta Effect Tektaş Küpe,annen,içimden geldi
Zümrüt Pırlanta Küpe,çocuğun,anneler günü
0.62 Karat Pırlanta Zümrüt Küpe,iş arkadaşın,anneler günü
Pırlanta Oval Zümrüt Küpe,sevgilin,yeni iş/terfi
Pırlanta Zümrüt Küpe,arkadaşın,özür dilerim
Pırlanta Damla Zümrüt Küpe,kardeşin,içimden geldi
Pırlanta Lale Zümrüt Küpe,kardeşin,geçmiş olsun
Pırlanta İnci Varlık Sembolü Kolye Adinkra,sevgilin,yıl dönümü
Damla Safir Altın Kolye,annen,yıl dönümü
0.07 Karat Pırlantalı Trend Kolye,arkadaşın,geçmiş olsun
0.30 Karat Uluslararası Sertifikalı Pırlanta Tektaş Kolye,kardeşin,yeni iş/terfi
G Renk 0.10 Karat Pırlanta Tektaş Kolye,kardeşin,özür dilerim
0.30 Karat Pırlanta Tektaş Kolye Anadia,kardeşin,söz-nişan-düğün
0.10 Karat Pırlanta Tektaş Kolye Haderslev,arkadaşın,anneler günü
Z Harfi Nazar Boncuklu Altın Kolye,kardeşin,içimden geldi
E Harfi Nazar Boncuklu Altın Kolye,çocuğun,geçmiş olsun
B Harfi Nazar Boncuklu Altın Kolye,iş arkadaşın,geçmiş olsun
A Harfi Nazar Boncuklu Altın Kolye,sevgilin,geçmiş olsun
Düzen (Akoben) Sembol Adinkra Altın Kolye,annen,geçmiş olsun
Altın İsim Kolye,arkadaşın,söz-nişan-düğün
A Harfi Altın Kolye,sevgilin,doğum günü
Zultanit (Diaspore) Damla Kesim Pırlanta Kolye,eşin,anneler günü
Renkli Zultanit Taşlı Pırlanta Kolye,iş arkadaşın,doğum günü
Pırlanta Damla Sitrin Kolye,sevgilin,yıl dönümü
Pırlanta Ametist Kuş Altın Kolye,sevgilin,doğum günü
Damla Mavi Topaz Taşlı Pırlantalı Gücün Kanatları Kolye,çocuğun,söz-nişan-düğün
Pırlanta Safir Haç Kolye,sevgilin,içimden geldi
Pırlanta Oval Safir Kolye,arkadaşın,doğum günü
Pırlanta Yakut Melek Kanadı Kolye,iş arkadaşın,geçmiş olsun
Yakut Pırlanta Kolye,arkadaşın,özür dilerim
Pırlanta Yakut Nar Kolye,annen,özür dilerim
Pırlanta İsim Altın Kolye (İstenilen İsimde Yapılır),annen,söz-nişan-düğün
Pırlanta İncili Kalp Kolye,arkadaşın,yeni iş/terfi
Baget ve Effect Pırlantalı Kolye,kardeşin,yıl dönümü
Pırlanta Fantezi Kolye Vicenza,annen,söz-nişan-düğün
Pırlanta E Harfi Kolye,kardeşin,yıl dönümü
Pırlanta Effect Kolye Rimini,eşin,yeni iş/terfi
Pırlanta Fantezi Kolye Hengelo,eşin,yıl dönümü
0.22 Karat Pırlanta Fantezi Kolye,eşin,söz-nişan-düğün
Pırlantalı Gullwing Fantezi Kolye,iş arkadaşın,anneler günü
Gerdanlık Modelli Pırlanta Neo Klasik Kolye,sevgilin,özür dilerim
Pırlanta Sonsuzluk Kolye,sevgilin,içimden geldi
Pırlanta Kalpli Kumru Kolye,iş arkadaşın,içimden geldi
Pırlanta Kalpli Sonsuzluk Kolye,iş arkadaşın,içimden geldi
Tasarım Pırlanta Kolye,iş arkadaşın,doğum günü
Pırlanta Altın Penguen Kolye,kardeşin,yeni iş/terfi
Pırlanta Fantezi Effect Kolye Venlo,iş arkadaşın,söz-nişan-düğün
Koruyucu Güç Meleği Adoniel Kolye,kardeşin,söz-nişan-düğün
Pırlantalı Şans Meleği Barachiel Kolye,arkadaşın,özür dilerim
Pırlanta Balık Kolye,annen,geçmiş olsun
Pırlanta Şifa Meleği İsrafil Kolye,arkadaşın,doğum günü
Kelt Sembolleri- Pırlantalı Altın Kız Kardeşlik Sembolü Kolye,baban,yıl dönümü
Pırlantalı Kayra Sembolü Kolye Adinkra,baban,içimden geldi
Pırlantalı Boğaz Çakrası (Visshiddha) Mineli Altın Kolye,kardeşin,yeni iş/terfi
Pırlantalı Göbek Çakrası (Manipura-Solar Pleksus) Altın Kolye,annen,anneler günü
Pırlanta Semboller Yaşam Çiçeği,eşin,söz-nişan-düğün
Pırlanta Lale Kolye Oostende,sevgilin,yıl dönümü
7 Çakra Koleksiyonu Altın Kolye,arkadaşın,doğum günü
Pırlanta Kolye Ayak İzi Koleksiyonu,annen,özür dilerim
3 Yapraklı Yonca Pırlantalı Kalp Kolye,sevgilin,yıl dönümü
Pırlanta R Harfi Kolye,annen,anneler günü
Pırlanta Kalpli Peri Kolye,baban,yıl dönümü
Tektaş Pırlantalı Parmak İzi Kolye,eşin,içimden geldi
0.36 Karat Pırlanta Zümrüt Kolye,iş arkadaşın,özür dilerim
0.11 Karat Zümrüt Pırlanta Kolye,sevgilin,yeni iş/terfi
Oval Zümrüt Altın Kolye,eşin,anneler günü
Pırlanta Su Yolu Miracle Gerdanlık,eşin,yıl dönümü
Siyah Pırlanta Sonsuzluk Tektaş Yüzük,çocuğun,özür dilerim
Oval Ametist Pırlanta Yarımtur Yüzük,sevgilin,yeni iş/terfi
0.54 Karat Oval Tanzanit Yüzük,iş arkadaşın,doğum günü
Damla Kesim Tanzanit Pırlanta Yüzük,arkadaşın,yıl dönümü
Zümrüt Kesim Tanzanit Pırlanta Yüzük,kardeşin,söz-nişan-düğün
Mavi Topaz Damla Kesim Pırlanta Yüzük,iş arkadaşın,yeni iş/terfi
Yakut Pırlanta Oval Yüzük,iş arkadaşın,özür dilerim
1.24 Karat Pırlanta Yarımtur Alyans,iş arkadaşın,yeni iş/terfi
0.23 Karat Pırlanta Baget Yüzük,arkadaşın,geçmiş olsun
Baget Kesim Pırlanta Tasarım Yüzük,kardeşin,içimden geldi
5 Taş Baget Pırlantalı Yüzük,baban,yeni iş/terfi
Yanları Pırlantalı Baget Tektaş Yüzük,eşin,geçmiş olsun
Pırlanta Haç Yüzük,sevgilin,yeni iş/terfi
Pırlanta Tektaş Miracle Küpe,sevgilin,yeni iş/terfi
Siyah ve Beyaz Pırlantalı Küpe,sevgilin,yeni iş/terfi
Yarımtur Safir Pırlanta Yüzük,eşin,doğum günü
Prenses Kesim Yakut Pırlanta Yüzük,arkadaşın,yeni iş/terfi
Pırlanta Dövme Motifli Altın Alyans Kadın Modeli- 4MM,eşin,geçmiş olsun
Dövme Altın Evlilik Alyans Kadın Modeli- 6MM,iş arkadaşın,yeni iş/terfi
Evlilik Alyansı Erkek Modeli KarJen- 4MM,annen,söz-nişan-düğün
Evlilik Alyansı Pırlantalı Kadın Modeli KarJen- 4MM,eşin,söz-nişan-düğün
Piramit Motif Altın Evlilik Alyans Kadın Model- 4MM,sevgilin,yıl dönümü
Klasik Düz Altın Alyans Erkek Modeli- 4MM,annen,anneler günü
Bombeli Klasik Altın Alyans Kadın Modeli- 6MM,çocuğun,doğum günü
Bombeli Klasik Altın Alyans Erkek Modeli- 6MM,annen,geçmiş olsun
Klasik Bombeli İki Renkli Altın Alyans Kadın Modeli- 4MM,sevgilin,içimden geldi
Modern Tarz Beyaz Altın Tektaş Pırlantalı Alyans Kadın Modeli- 3MM,eşin,geçmiş olsun
"Rose Altın Söz,Nişan Alyansı Pırlantalı Kadın Modeli- 4MM",eşin,doğum günü
Altın Söz Yüzüğü Pırlantalı Kadın Model- 3MM,arkadaşın,yıl dönümü
Pırlantalı Bombeli Alyans Kadın Modeli- 4MM,sevgilin,söz-nişan-düğün
Pırlanta Sıra Taşlı Evlilik Alyansı Kadın Modeli Heidelberg- 4MM,sevgilin,söz-nişan-düğün
Klasik Bombeli Altın Alyans Kadın Modeli- 3MM,sevgilin,yeni iş/terfi
Klasik Bombeli Altın Alyans Erkek Modeli- 3MM,baban,geçmiş olsun
14 Ayar Altın Bombeli Altın Alyans Erkek Modeli- 2MM,eşin,özür dilerim
Klasik Bombeli Altın Alyans Kadın Modeli- 5MM,eşin,söz-nişan-düğün
Klasik Düz Altın Alyans Kadın Modeli- 3MM,eşin,içimden geldi
14 Ayar Altın Söz Ve Nişan Alyansı Kadın Model- 3MM,çocuğun,doğum günü
14 Ayar Altın Söz ve Nişan Alyansı Erkek Model- 3MM,sevgilin,yeni iş/terfi
Klasik Bombeli Altın Alyans Kadın Modeli Renden- 4MM,kardeşin,söz-nişan-düğün
Platin Pırlanta Bombeli Evlilik Alyansı Kadın Model- 3MM,arkadaşın,yıl dönümü
14 Ayar İki Renkli Alyans Kadın Model- 3MM,çocuğun,yeni iş/terfi
Pırlanta Miracle Suyolu Bileklik,baban,söz-nişan-düğün
2.01 Karat Pırlanta Suyolu Bileklik,arkadaşın,anneler günü
0.36 Karat Yarımtur Pırlanta Yüzük,arkadaşın,doğum günü
0.50 Karat Beştaş Pırlanta Yüzük,baban,yeni iş/terfi
Pırlanta Beştaş Yüzük Miracle Model,iş arkadaşın,anneler günü
0.20 Karat Pırlanta 5 Taş Alyans,kardeşin,söz-nişan-düğün
Devinim Sembolü Altın Kolye (Nkyinkim),sevgilin,söz-nişan-düğün
22 Ayar Klasik Bombeli Altın Alyans Kadın Modeli- 2MM,sevgilin,doğum günü
0.25 Karat Oval Safir Baget Kolye,annen,doğum günü
1.22 Karat Safir Oval Pırlanta Küpe,iş arkadaşın,doğum günü
Zümrüt Lale Pırlanta Yüzük,baban,yeni iş/terfi
Damla Elmas Kolye,çocuğun,özür dilerim
Pırlanta Altın At Kolye,sevgilin,özür dilerim
Sakral Çakra (Svadhıstana) Altın Kol Düğmesi,eşin,yeni iş/terfi
Altın (Manipura Solar Pleksus) Göbek Çakrası Bileklik,kardeşin,söz-nişan-düğün
Kelt Sembolleri Altın Kızkardeşlik Sembol Bileklik (Triskele),arkadaşın,anneler günü
Kelt Sembolleri- Nazar Kalkanı (Shield Knot) Bileklik,baban,içimden geldi
Alın Çakrası Altın Bileklik,arkadaşın,doğum günü
1.00 Karat Yuvarlak Kesim Pırlanta Tamtur Alyans,baban,geçmiş olsun
Pırlantalı Altın Gümüş Erkek Miracle Yüzük,arkadaşın,yıl dönümü
Yaşam Çiçeği Altın Kolye,iş arkadaşın,yeni iş/terfi
Damla Altın Kolye,arkadaşın,yeni iş/terfi
Pırlantalı 7 Taş Yüzük,çocuğun,anneler günü
Damla Ametist Altın Küpe,çocuğun,geçmiş olsun
Damla Kesim Ametist Altın Yüzük,baban,yeni iş/terfi
Kalpli Parmak İzi Altın Alyans Erkek Modeli- 6.5MM,baban,geçmiş olsun
Pırlantalı Kalpli Parmak İzi Altın Alyans Kadın Modeli- 6.5MM,kardeşin,yeni iş/terfi
Papatya Altın Küpe,sevgilin,anneler günü
Kelebek Altın Küpe,sevgilin,yeni iş/terfi
Ayıcık Altın Küpe,eşin,içimden geldi
Yuvarlak Altın Küpe,baban,özür dilerim
14 Ayar Dorika Altın Toplu Bileklik,kardeşin,doğum günü
14 Ayar Altın 4 Element Sembolü Bileklik,eşin,yıl dönümü
Erkek ve Kız Çocuğu Kolye,arkadaşın,içimden geldi
Sonsuzluk Altın Kolye,arkadaşın,geçmiş olsun
Bilgi Sembolü Altın Kolye,arkadaşın,anneler günü
Güç Sembolü Altın Kolye (Gye Nyame),iş arkadaşın,doğum günü
Altın Kolye (Trinity) Sembolü,baban,geçmiş olsun
Kedi Altın Kolye,annen,özür dilerim
Aşkın Ritmi Kalp Altın Kolye,çocuğun,anneler günü
Bilgelik Meleği Zadkiel Ametist Altın Kolye,çocuğun,geçmiş olsun
Varlık Sembolü Altın Kolye (Besa Saka),iş arkadaşın,özür dilerim
14 Ayar Altın Lale Kolye,kardeşin,söz-nişan-düğün
Pırlanta Beştaş Miracle Yüzük (1.75 Ct. Görünüm),eşin,içimden geldi
Damla Kesim Ametist Altın Kolye,arkadaşın,söz-nişan-düğün
0.15 Karat Pırlanta Effect Tektaş Yüzük,iş arkadaşın,içimden geldi
Pırlantalı Bileklik Aşk Sembolü (Osram ne Nsoromma) Adinkra,annen,söz-nişan-düğün
Güç Meleği Mavi Topaz Altın Bileklik (Sandalfon),baban,içimden geldi
0.06 Karat Pırlanta Tektaş Erkek Küpesi (Tek Adet Fiyatıdır),çocuğun,anneler günü
0.15 Karat Pırlanta Tektaş Erkek Küpesi (Tek Adet),eşin,anneler günü
0.10 Karat Pırlanta Erkek Küpe (Tek Adet Fiyatıdır),arkadaşın,anneler günü
Pırlanta Kol Düğmesi Altın Gümüş,sevgilin,yeni iş/terfi
Pırlanta Harf Kol Düğmesi Altın,iş arkadaşın,doğum günü
Pırlanta Bilgelik Meleği Şahmeran Bileklik,annen,anneler günü
Pırlantalı Güç Meleği Sandalfon Altın Bileklik,sevgilin,içimden geldi
Pırlanta Sembol Deri Bileklik,eşin,geçmiş olsun
Pırlanta Fantezi Tasarım Bileklik,çocuğun,yeni iş/terfi
Kırmızı Altın Fantezi Pırlanta Bileklik,annen,doğum günü
0.10 Karat Pırlanta Tektaş Kolye Vigevano,sevgilin,özür dilerim
0.28 Karat Pırlanta Tektaş Yüzük Aprilia,arkadaşın,yıl dönümü
Pırlantalı Erkek Miracle Yüzük,arkadaşın,özür dilerim
Pırlanta Erkek Yüzük Altın Gümüş,baban,içimden geldi
Pırlanta Kayra Sembolü Yüzük,annen,geçmiş olsun
Pırlanta Yılan Yüzük,kardeşin,yeni iş/terfi
14 Ayar Altın Nazar Boncuk Bileklik,çocuğun,geçmiş olsun
Pırlanta Damla Yakut Yüzük,kardeşin,içimden geldi
Kelt Sembolü Kız Kardeşlik Altın Kolye,sevgilin,içimden geldi
Aşk Döngüsü Altın Evlilik Alyansı Kadın Model- 2MM,baban,yıl dönümü
Sedef Üzerine Altın Ritim Kolye,eşin,özür dilerim
Sedef Üzerine Altın Kayra Sembol Kolye,kardeşin,yıl dönümü
1.00 Karat Pırlanta Tamtur Alyans,annen,yeni iş/terfi
Dorika Altın Halka Küpe,baban,geçmiş olsun
Sitrin Taşlı Altın Kolye,arkadaşın,yıl dönümü
Cesaret Sembolü Adinkra Altın Kolye (Akofena),iş arkadaşın,doğum günü
Kalp Sedef Üzerine Altın Kuzey Yıldızı Kolye,eşin,içimden geldi
1.15 Karat Pırlanta Zümrüt Yüzük,annen,anneler günü
0.41 Karat Pırlanta Tektaş Yüzük,annen,geçmiş olsun
F Renk Pırlanta Baget Kolye,kardeşin,yeni iş/terfi
Baget Pırlanta Fantezi Love Arrow Kolye,çocuğun,anneler günü
Pırlanta Miracle Tektaş Yüzük 0.45 Karat Görünüm,iş arkadaşın,doğum günü
Kalp Sedef Üzerine Altın Lotus Çiçeği Bileklik,çocuğun,içimden geldi
Pırlanta Kalp Lava Yüzük,sevgilin,söz-nişan-düğün
Pırlantalı Kalp Yüzük,iş arkadaşın,geçmiş olsun
0.44 Karat Pırlanta Prenses Kesim Safir Yüzük,annen,anneler günü
14 Ayar Altın Mavi Topaz Taşlı Kolye,annen,geçmiş olsun
Oval Kesim Ametist Altın Yüzük,baban,söz-nişan-düğün
Oval Kesim Ametist Altın Küpe,kardeşin,doğum günü
Oval Kesim Ametist Altın Kolye,iş arkadaşın,özür dilerim
Damla Mavi Topaz Altın Yüzük,arkadaşın,özür dilerim
0.94 Karat Pırlanta 5 Taş Alyans,annen,içimden geldi
Sarı Altın Piramit Desenli Modern Alyans Erkek Modeli- 4MM,kardeşin,içimden geldi
0.45 Karat Görünüm Pırlanta Miracle Tektaş Yüzük,eşin,anneler günü
Tektaş ve Yarım Tur Pırlantalı Alyans Yüzük Kadın Modeli- 4MM,çocuğun,doğum günü
Modern Tarz Beyaz Altın Alyans Erkek Modeli- 4MM,çocuğun,anneler günü
Rose Color Alyans Erkek Modeli- 4MM,eşin,doğum günü
Rose Color Alyans Pırlanta Taşlı Kadın Modeli- 4MM,eşin,geçmiş olsun
0.65 Karat Pırlanta Yarımtur Yüzük,kardeşin,geçmiş olsun
Dorika Toplu Çift Sıra Altın Yüzük,eşin,anneler günü
3 Taşlı Pırlanta Altın Alyans Bombeli Kadın Modeli- 3MM,kardeşin,doğum günü
Bombeli Alyans Pırlantalı Kadın Modeli- 4MM,arkadaşın,yıl dönümü
Damla Peridot Taşlı Altın Kolye,sevgilin,özür dilerim
Damla Ametist Taşlı Altın Kolye,eşin,söz-nişan-düğün
Talih Sembolü Altın Kolye (Hwemudua),baban,yıl dönümü
1.19 Karat Oval Safir Pırlanta Yüzük,sevgilin,özür dilerim
Pırlanta Tektaş Miracle Yüzük (0.70 Karat Görünüm),eşin,yıl dönümü
Bombeli Klasik Altın Evlilik Alyans Erkek Modeli- 3MM,annen,içimden geldi
L'oval 0.46 Karat Oval Kesim Tektaş Yüzük,baban,yeni iş/terfi
Ametist Yaprak Altın Kolye,çocuğun,yeni iş/terfi
Pırlanta Erkek Küpe Dolichenus (Tek Adet Fiyatıdır),kardeşin,doğum günü
Pırlanta Erkek Küpe Helernus (Tek Adet Fiyatıdır),eşin,doğum günü
0.85 Karat Siyah Pırlanta Erkek Küpe (Tek Adet Fiyatıdır),baban,içimden geldi
Siyah Pırlanta Unisex Suyolu Bileklik,baban,geçmiş olsun
0.90 Karat Pırlanta Yarımtur Yüzük,çocuğun,özür dilerim
0.30 Karat Pırlantalı Beştaş Yüzük,arkadaşın,yıl dönümü
Damla Kesim Ametist Taşlı Charm Altın Kolye Ucu,arkadaşın,özür dilerim
Pırlanta Safir Yüzük Pesaro,baban,içimden geldi
Pırlanta Damla Miracle Bileklik,iş arkadaşın,söz-nişan-düğün
Fatma Eli Altın Charm Kolye Ucu,eşin,içimden geldi
Göz Sembolü Charm Altın Kolye Ucu,iş arkadaşın,geçmiş olsun
Deniz Yıldızı Charm Altın Kolye Ucu,çocuğun,yeni iş/terfi
Anne Çocuk Charm Altın Kolye Ucu,iş arkadaşın,yeni iş/terfi
0.98 Karat Pırlanta Yakut Yüzük,çocuğun,yeni iş/terfi
Kelt Sembolleri Dostluk Sembolü (Triskele) Altın Küpe,sevgilin,geçmiş olsun
Mineli Bilge Sembolü Altın Kolye (Ananse Ntontan),kardeşin,geçmiş olsun
Baget Pırlantalı 0.63 Karat Yüzük,sevgilin,yıl dönümü
Altın S Harfi Kolye,annen,özür dilerim
14 Ayar Altın Zincir Bileklik,baban,yeni iş/terfi
Taç Siyah Pırlanta Tektaş Yüzük,eşin,anneler günü
Melek Altın Bileklik,sevgilin,yeni iş/terfi
14 Ayar Altın Melek Bileklik,eşin,anneler günü
Pırlanta Prenses Tektaş Trend Yüzük,eşin,söz-nişan-düğün
Pırlanta İkili Baget Yüzük,baban,söz-nişan-düğün
Damla Siyah Pırlanta Yüzük,çocuğun,içimden geldi
Baget Pırlantalı Trend Yüzük,kardeşin,söz-nişan-düğün
0.24 Karat Pırlantalı Baget Küpe,eşin,söz-nişan-düğün
14 Ayar Altın Ataç Zincir Kolye,çocuğun,özür dilerim
14 Ayar Altın Doc Zincir Kolye,sevgilin,yıl dönümü
Altın Boomerang Yıldız İtalyan Bileklik,arkadaşın,yeni iş/terfi
0.15 Karat Görünüm Pırlanta Tektaş Yüzük,sevgilin,geçmiş olsun
Habbe Altın Bileklik,baban,geçmiş olsun
Güneş Sembolü Altın Bileklik,sevgilin,yeni iş/terfi
Trend Altın Küpe,iş arkadaşın,yeni iş/terfi
Trend Altın Kolye,arkadaşın,geçmiş olsun
0.08 Karat Pırlanta Baget Fantezi Yüzük,iş arkadaşın,içimden geldi
Bolluk Sembolü Altın Bileklik (Kintinkantan),arkadaşın,söz-nişan-düğün
Trapez Kesim Yakut Altın Yüzük,iş arkadaşın,içimden geldi
Yenilik (Mmere Dane) Sembolü Altın Kolye,sevgilin,doğum günü
Pırlanta Prenses Taşlı Yüzük,kardeşin,söz-nişan-düğün
Pırlanta Bagetli Yüzük,arkadaşın,söz-nişan-düğün
Miracle Pırlanta Tria Fantazi Yüzük,arkadaşın,yeni iş/terfi
Siyah Pırlantalı Oval Kesim Yüzük,annen,içimden geldi
Desenli Altın Evlilik Alyansı Kadın Modeli- 4.5MM,iş arkadaşın,anneler günü
Bereket Sembolü Altın Kolye (NSEREWA),iş arkadaşın,geçmiş olsun
Mineli 4 Element Altın Kolye,çocuğun,doğum günü
Pırlantalı Çift Damla Yakut Yüzük,annen,söz-nişan-düğün
Oval Ametist Taşlı Altın Yüzük,sevgilin,anneler günü
0.34 Karat Pırlanta Baget Fantezi Yüzük,annen,içimden geldi
Pırlantalı Oval Kesim Zultanit Yüzük,çocuğun,söz-nişan-düğün
Altın Halka Küpe,baban,yıl dönümü
Baget Kesim Ametist Altın Yüzük,sevgilin,özür dilerim
Pırlanta Baget Fantezi Bileklik,arkadaşın,doğum günü
0.20 Karat Prenses Kesim Pırlanta Effect Tektaş Yüzük,arkadaşın,yeni iş/terfi
Pırlantalı Aşk Sembolü Kolyesi (Osram ne Nsoromma) Adinkra,sevgilin,yıl dönümü
Pırlanta Armoni (Manji) Sembolü Kolye Adinkra,kardeşin,yıl dönümü
0.88 Karat Effect Pırlanta Kolye,çocuğun,içimden geldi
Pırlanta Aşk Döngüsü Kolye,eşin,yeni iş/terfi
Pırlanta Zümrüt Lale Kolye,annen,doğum günü
Siyah Pırlanta Quartz Damla Küpe,baban,özür dilerim
1.46 Karat Pırlanta Yakut Küpe,kardeşin,yıl dönümü
İnci Pırlanta Yaprak Küpe,kardeşin,doğum günü
Pırlanta Miracle Suyolu Küpe Como,baban,yıl dönümü
Pırlanta Damla Miracle Küpe,kardeşin,yıl dönümü
Damla Zümrüt Altın Küpe,çocuğun,özür dilerim
Damla Kesim Yakut Altın Kolye,iş arkadaşın,geçmiş olsun
Damla Mavi Topaz Altın Kolye,kardeşin,geçmiş olsun
Mavi Topaz Altın Anne Çocuk Kolye,iş arkadaşın,söz-nişan-düğün
Ametist Altın Anne Çocuk Kolye,baban,yeni iş/terfi
Pırlanta Miracle Kolye Küpe,sevgilin,doğum günü
0.30 Karat D-VS2 Pırlanta Tektaş Kolye Uluslararası Sertifikalı,çocuğun,yeni iş/terfi
K Harfi Nazar Boncuklu Altın Kolye,çocuğun,geçmiş olsun
Zultanit Zümrüt Kesim Pırlanta Kolye,iş arkadaşın,doğum günü
Pırlanta Miracle Fantezi Altın Kolye,iş arkadaşın,geçmiş olsun
Pırlanta Kuzey Yıldızı Kolye,eşin,yeni iş/terfi
İnsanlık Meleği Metatron Kolye,baban,söz-nişan-düğün
Kelt Sembolleri- Pırlanta Nazar Kalkanı (Shield Knot) Kolye,baban,yeni iş/terfi
Pırlantalı Kalp Çakrası (Anahata) Mineli Altın Kolye,arkadaşın,doğum günü
4 Element Pırlanta Kolye,annen,doğum günü
Pırlanta Tek Taşlı Kar Tanesi Kolye,annen,yeni iş/terfi
Yonca Formunda Pırlantalı Zümrüt Kolye,sevgilin,yıl dönümü
0.50 Karat Oval Tanzanit Pırlanta Yüzük,baban,yıl dönümü
0.52 Karat Oval Safir Pırlanta Yüzük,eşin,özür dilerim
1.07 Karat Damla Yakut Pırlanta Yüzük,annen,doğum günü
0.11 Karat Pırlanta Yüzük,çocuğun,yeni iş/terfi
